iter	RMSE
0	20367.9329
1	18835.22106
2	17746.76033
3	16906.97939
4	15890.8483
5	15194.97012
6	14707.31559
7	14304.66081
8	14034.44847
9	13853.44555
10	13662.60949
11	13563.28355
12	13429.09725
13	13369.1695
14	13283.25458
15	13216.29335
16	13129.92564
17	13094.74148
18	13025.34773
19	12990.39116
20	12939.96297
21	12886.58283
22	12842.24099
23	12816.20857
24	12788.43687
25	12754.9718
26	12732.18506
27	12720.00828
28	12707.22804
29	12707.18642
30	12700.36201
31	12662.70779
32	12649.61254
33	12649.60332
34	12629.67943
35	12628.59613
36	12627.98261
37	12627.36558
38	12627.34838
39	12625.89222
40	12625.69891
41	12549.21115
42	12521.51661
43	12498.87078
44	12473.95468
45	12473.79769
46	12464.56178
47	12464.53947
48	12428.35058
49	12371.96439
50	12371.96419
51	12371.96406
52	12363.72608
53	12363.72603
54	12363.726
55	12363.72598
56	12327.76516
57	12327.76468
58	12327.76438
59	12315.92771
60	12270.06548
61	12260.94425
62	12260.94418
63	12260.94413
64	12234.93924
65	12234.93518
66	12208.9544
67	12186.12233
68	12163.85583
69	12146.90388
70	12137.67088
71	12131.75412
72	12073.03188
73	12073.01608
74	12073.00474
75	12043.77699
76	12040.32281
77	12040.31803
78	12040.31061
79	12026.50317
80	12026.50053
81	12026.49885
82	12017.90856
83	12003.25446
84	11988.37452
85	11973.88296
86	11964.01464
87	11943.91272
88	11943.29359
89	11935.166
90	11928.24796
91	11920.20639
92	11904.41518
93	11898.64873
94	11883.98199
95	11873.76351
96	11860.20077
97	11860.1898
98	11856.16241
99	11830.69422
100	11830.68959
101	11830.39489
102	11830.36472
103	11830.1705
104	11829.84064
105	11829.75094
106	11829.69354
107	11807.71758
108	11784.85342
109	11784.82703
110	11774.89837
111	11762.77101
112	11749.49625
113	11742.72452
114	11728.92272
115	11728.90648
116	11706.40616
117	11690.45606
118	11672.00655
119	11659.50104
120	11659.42453
121	11659.37556
122	11659.36401
123	11642.79812
124	11631.57158
125	11631.52093
126	11623.87799
127	11623.87711
128	11623.87648
129	11618.15323
130	11606.15768
131	11588.1375
132	11588.1375
133	11581.06421
134	11570.96913
135	11562.2324
136	11562.22512
137	11562.18511
138	11542.13996
139	11525.83034
140	11511.49626
141	11507.38188
142	11507.37994
143	11507.36696
144	11498.63583
145	11482.47303
146	11482.44684
147	11469.8876
148	11469.85309
149	11469.85269
150	11469.85243
151	11469.83009
152	11469.81379
153	11469.81377
154	11469.80327
155	11469.78908
156	11469.78223
157	11469.77875
158	11469.76973
159	11469.75929
160	11469.75347
161	11469.74447
162	11456.96645
163	11456.95282
164	11456.94576
165	11456.94262
166	11456.93982
167	11456.93854
168	11456.93721
169	11456.93467
170	11429.40818
171	11420.40938
172	11420.40062
173	11420.395
174	11420.37788
175	11420.37365
176	11416.53441
177	11416.51767
178	11416.5115
179	11413.63777
180	11413.63525
181	11413.63304
182	11413.63291
183	11413.63282
184	11390.80707
185	11383.27722
186	11371.49434
187	11357.81514
188	11357.81026
189	11357.80857
190	11355.36048
191	11355.35982
192	11355.3594
193	11354.64016
194	11354.63773
195	11354.63699
196	11354.63574
197	11354.63571
198	11354.63538
199	11349.60536
200	11349.60465
201	11335.31067
202	11335.30714
203	11335.30713
204	11335.30712
205	11335.20917
206	11328.88502
207	11328.88233
208	11328.80512
209	11328.75571
210	11325.51528
211	11323.55945
212	11323.55136
213	11317.49943
214	11317.49139
215	11315.67384
216	11315.66689
217	11315.04481
218	11315.04481
219	11315.04044
220	11315.03995
221	11314.59946
222	11308.10258
223	11290.23695
224	11279.27628
225	11279.20951
226	11277.72467
227	11271.65693
228	11271.65539
229	11271.6544
230	11271.63551
231	11270.78898
232	11269.53135
233	11257.21033
234	11249.13348
235	11239.42567
236	11237.68289
237	11235.02981
238	11235.02975
239	11217.58723
240	11217.58715
241	11217.58607
242	11217.58538
243	11206.54344
244	11206.54318
245	11201.82083
246	11201.63176
247	11201.61945
248	11198.50602
249	11198.49153
250	11198.37218
251	11198.29033
252	11198.29015
253	11198.25776
254	11188.55053
255	11179.22207
256	11176.41102
257	11166.48618
258	11166.4844
259	11159.23137
260	11150.93027
261	11147.5929
262	11147.59216
263	11147.58673
264	11137.58279
265	11137.58273
266	11137.58268
267	11137.56333
268	11137.56325
269	11134.13165
270	11126.63627
271	11122.62107
272	11118.51145
273	11118.50783
274	11118.50551
275	11113.55551
276	11113.54337
277	11109.51278
278	11109.28883
279	11109.26063
280	11109.11845
281	11094.04662
282	11086.2741
283	11080.38743
284	11080.31074
285	11080.31065
286	11075.75348
287	11075.74888
288	11075.70167
289	11072.7737
290	11072.76688
291	11071.50999
292	11071.45793
293	11065.7622
294	11062.97178
295	11062.9302
296	11062.90358
297	11062.88655
298	11051.91579
299	11047.99539
