iter	Passed	Remaining
0	238	71364
1	496	73983
2	686	67975
3	893	66121
4	1070	63138
5	1208	59192
6	1400	58636
7	1521	55519
8	1708	55228
9	1825	52935
10	1941	51002
11	2067	49621
12	2203	48652
13	2288	46753
14	2385	45326
15	2547	45217
16	2675	44536
17	2793	43766
18	2918	43168
19	3081	43135
20	3211	42666
21	3309	41819
22	3444	41486
23	3585	41233
24	3738	41128
25	3881	40902
26	4055	41004
27	4194	40746
28	4384	40970
29	4452	40071
30	4549	39476
31	4690	39282
32	4818	38985
33	4884	38217
34	4998	37845
35	5082	37271
36	5164	36709
37	5268	36325
38	5335	35708
39	5456	35467
40	5539	34994
41	5682	34909
42	5815	34755
43	5955	34651
44	6109	34621
45	6196	34217
46	6292	33869
47	6339	33281
48	6463	33109
49	6614	33071
50	6683	32632
51	6770	32289
52	6890	32112
53	6954	31679
54	7024	31292
55	7096	30922
56	7208	30731
57	7265	30315
58	7329	29937
59	7479	29917
60	7566	29646
61	7658	29399
62	7713	29016
63	7770	28654
64	7873	28466
65	7926	28103
66	8057	28019
67	8206	27997
68	8323	27864
69	8419	27662
70	8535	27530
71	8658	27418
72	8786	27322
73	8859	27058
74	8924	26774
75	9043	26655
76	9183	26597
77	9351	26616
78	9546	26705
79	9693	26656
80	9747	26355
81	9799	26052
82	9929	25959
83	10067	25888
84	10189	25772
85	10307	25647
86	10415	25499
87	10582	25493
88	10710	25392
89	10817	25240
90	10917	25075
91	11023	24921
92	11208	24947
93	11372	24922
94	11566	24960
95	11741	24950
96	11913	24931
97	12035	24807
98	12249	24871
99	12451	24903
100	12560	24747
101	12675	24604
102	12816	24512
103	12916	24342
104	13077	24287
105	13191	24143
106	13294	23979
107	13429	23874
108	13529	23708
109	13607	23503
110	13739	23393
111	13872	23286
112	13989	23151
113	14086	22983
114	14185	22820
115	14267	22631
116	14416	22548
117	14611	22536
118	14767	22460
119	14891	22337
120	14971	22147
121	15036	21938
122	15109	21743
123	15266	21668
124	15394	21551
125	15483	21381
126	15591	21239
127	15652	21033
128	15735	20858
129	15878	20764
130	16004	20646
131	16120	20516
132	16186	20324
133	16281	20169
134	16400	20044
135	16525	19927
136	16574	19720
137	16649	19544
138	16752	19403
139	16881	19293
140	17008	19179
141	17114	19042
142	17195	18878
143	17289	18729
144	17394	18593
145	17517	18477
146	17623	18342
147	17730	18210
148	17811	18050
149	17861	17861
150	17931	17694
151	18009	17536
152	18093	17384
153	18149	17206
154	18251	17074
155	18321	16911
156	18406	16765
157	18491	16619
158	18561	16460
159	18644	16313
160	18710	16153
161	18793	16008
162	18933	15913
163	19024	15776
164	19105	15631
165	19161	15468
166	19260	15338
167	19315	15176
168	19405	15041
169	19483	14899
170	19632	14810
171	19782	14721
172	19856	14576
173	19933	14434
174	20002	14287
175	20086	14151
176	20185	14027
177	20232	13867
178	20288	13714
179	20411	13607
180	20484	13467
181	20552	13325
182	20601	13171
183	20659	13024
184	20922	13005
185	21079	12919
186	21276	12856
187	21408	12753
188	21487	12619
189	21565	12485
190	21701	12384
191	21752	12235
192	21808	12090
193	21941	11988
194	22076	11887
195	22151	11754
196	22280	11648
197	22361	11519
198	22421	11379
199	22541	11270
200	22645	11153
201	22765	11044
202	22843	10915
203	22892	10772
204	22944	10632
205	23037	10512
206	23168	10409
207	23271	10292
208	23419	10196
209	23537	10087
210	23682	9989
211	23794	9876
212	23886	9756
213	24013	9650
214	24088	9523
215	24230	9423
216	24318	9301
217	24422	9186
218	24478	9053
219	24575	8936
220	24659	8815
221	24801	8714
222	24911	8601
223	25062	8503
224	25159	8386
225	25235	8262
226	25340	8149
227	25471	8043
228	25544	7919
229	25612	7795
230	25679	7670
231	25766	7552
232	25864	7437
233	25957	7321
234	26086	7215
235	26184	7100
236	26271	6983
237	26357	6866
238	26412	6741
239	26525	6631
240	26594	6510
241	26662	6390
242	26726	6269
243	26810	6153
244	26860	6029
245	26959	5918
246	27061	5806
247	27240	5711
248	27455	5623
249	27674	5534
250	27861	5439
251	28016	5336
252	28085	5217
253	28207	5108
254	28321	4997
255	28460	4891
256	28604	4786
257	28725	4676
258	28789	4557
259	29040	4467
260	29286	4376
261	29423	4267
262	29478	4147
263	29587	4034
264	29785	3933
265	29919	3824
266	30107	3721
267	30331	3621
268	30427	3506
269	30554	3394
270	30788	3294
271	30958	3186
272	31136	3079
273	31293	2969
274	31442	2858
275	31607	2748
276	31750	2636
277	32106	2540
278	32283	2429
279	32442	2317
280	32599	2204
281	32836	2095
282	33120	1989
283	33337	1878
284	33584	1767
285	33693	1649
286	33837	1532
287	33970	1415
288	34163	1300
289	34318	1183
290	34417	1064
291	34558	946
292	34653	827
293	34809	710
294	34926	591
295	35005	473
296	35079	354
297	35148	235
298	35282	118
299	35382	0
